,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
481,MITIGATION,Transport,Vehicle and fuel technologies,UNDEFINED,0,0,0,Transportation Sector prioritization - 3 - Solar Bus,"135 buses, 6,700 seats. range of 80-120km with battery charge, charge time is ~8 hours. Need for 225 buses. Used for student transport. COST USD 45,000/bus - Ugandan Kira Motors for Kayoola Soloar prototype Bus. Operating cost 3% cost/year",0,Burkina Faso,1
482,MITIGATION,Transport,Land Transport,BUS RAPID TRANSIT,0,0,0,Trasnprotation Sector not prioritized - BRT,Rapid Transit Bus - not prioritized as a technology to move forward with. COST: 1-15 mil USD per km. ,0,Burkina Faso,1
483,ADAPTATION,Renewable energy,Bioenergy,BIODIGESTER,0,0,0,Agriculture Sector prioritization - 1 - Biodigesters,"Prioritized because these technologies best fit the potential effects of climate change by: i) improvement of the terms of the water balance of cropping systems, ii) management sustainable and integrated fertility of croplands, iii) sustainable management of resources pastoral and zootechnics. ",0,Burkina Faso,1
484,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),UNDEFINED,0,0,0,Agriculture Sector prioritization - 4 - Runoff Water Collection Basins (BCER),"Prioritized because these technologies best fit the potential effects of climate change by: i) improvement of the terms of the water balance of cropping systems, ii) management sustainable and integrated fertility of croplands, iii) sustainable management of resources pastoral and zootechnics. ",0,Burkina Faso,1
485,ADAPTATION,Energy Efficiency,Appliances and Equipment,IMPROVED COOK STOVES,0,0,0,Forestry Sector prioritization - 1 - Promotion of improved stoves for households,diffusion of improved cook stoves to reduce the consumption of wood energy and pressure on forests,0,Burkina Faso,1
486,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,TERRACING,0,0,0,Agriculture Sector prioritization - 2 - Stone lines + Zai + RNA,"Prioritized because these technologies best fit the potential effects of climate change by: i) improvement of the terms of the water balance of cropping systems, ii) management sustainable and integrated fertility of croplands, iii) sustainable management of resources pastoral and zootechnics. ",0,Burkina Faso,1
487,ADAPTATION,Agriculture and Forestry,Forest management for adaptation ,UNDEFINED,0,0,0,Forestry Sector prioritization - 2 - Development and management of natural forests,the development and sustainable management of classified and protected natural forests presetning significant economic and ecological interest,0,Burkina Faso,1
488,ADAPTATION,Agriculture and Forestry,Forest management for adaptation ,INDIGENOUS FOREST MANAGEMENT PRACTISES *,0,0,0,Forestry Sector prioritization - 3 - Creation by the Territorial Collectives of areas of communal conservation,"the mulitplication by local authorities, in relation with rural communities, forest areas for the conservation and production of goods and services multiple environmental factors.",0,Burkina Faso,1
489,ADAPTATION,Agriculture and Forestry,Livestock management,PASTURE MANAGEMENT,0,0,0,Agriculture and Water Sector other: improve agricultural productivity,"itensification of agricultural production, suitable plant material (seeds (short cycle), improve land tenure security, promotion of water-efficient irrigation systems)",0,Burkina Faso,1
490,ADAPTATION,Agriculture and Forestry,Terrestrial ecosystems management,BIODIVERSITY MANAGEMENT SYSTEMS,0,0,0,Forestry/Biodiversity Sector other: Conservation and biodiversity,Improve biodiversity,0,Burkina Faso,1
491,ADAPTATION,Cross-sectoral Enablers and Approaches,Communication and Awareness,EARLY WARNING AND FORECASTING SYSTEMS,0,0,0,Livestock and Animal production Sector other: strengthen the preparation of rapid responses to the effects of climate change,0,0,Burkina Faso,1
492,ADAPTATION,Cross-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,0,0,Livestock and Animal production Sector other: building resilient capacities of poor households in the face of climate change; Livestock adn Animal production Sector other: revitalization of livelihoods in pastoral production areas,0,0,Burkina Faso,1
493,ADAPTATION,Cross-sectoral Enablers and Approaches,Ecosystems and Biodiversity,ECOSYSTEM-BASED ADAPTATION,0,0,0,Forestry/Biodiversity Sector other: improve the productivity and resilience of ecosystems,"increase production of forest biomass and promote new tech in wood-energy sector, improve SLM, apply good fishing and aquaculture practices",0,Burkina Faso,1
494,ADAPTATION,Early Warning and Enviornmental Assessment,Monitoring systems,ECOSYSTEM MONITORING,0,0,0,Forestry/Biodiversity Sector other: Research and ecological monitoring,"set up a permanent and functional reserach and development system on adaptation to climate change, ensure the permanent monitoring of the impacts of climate change on natural ecosystems",0,Burkina Faso,1
495,ADAPTATION,Forestry,Forest management for mitigation,UNDEFINED,0,0,0,Forestry/Biodiversity Sector other: Mitigation of GHG emissions,"implement measures to reduce pollution in urban areas, set up the national observatory for the enviornment and natural risks",0,Burkina Faso,1
515,MITIGATION,Infrastructure and Urban planning,Urban Planning,SUSTAINABLE URBAN DEVELOPMENT,0,"Conditional. Technology is available, but it needs to have complemented from international places ",Sustainable urban development - Urban planning tools for climate change mitigation and the urban planning solution in three sub city,0,0,"1. 70% of the three urban planning completed by 2025 (unconditional)
2. 100% of the three urban planning completed by 2030 (unconditional)",Cambodia,1
516,MITIGATION,Energy Efficiency,Buildings,BUILDING ENERGY MANAGEMENT SYSTEMS,0,Conditional,Improvement of process performance of EE by establishment of energy management in buildings/industries,0,0,"1. Conduct the mandatory energy audits for companies with an annual energy consumption of more than prescribed within the laws/regulation
2. Voluntary scheme for other
companies, especially for SMEs
to reduce 10% in 2030",Cambodia,1
517,MITIGATION,Industry,Manufacturing Industry,WOOD PRODUCTS,"Piloting and establishment one completed demonstration local factory for latex and rubber timber processing (energy saving, pollution free, less chemical input, and improve quantity and quality of raw products)",0,Efficiency energy and pollution management in latex and rubber wood processing,0,0,0,Cambodia,1
518,MITIGATION,Infrastructure and urban planning,Urban planning,RESILIENT SANITATION INFRASTRUCTURE,0,Conditional NDC action: Cumulative 2020-2030 investment in sanitary landfills: USD 664 million for flaring and USD 788 million including electricity generator (excluding land acquisition),New sanitary landfills with LFG extraction and LFG extraction at the Dangkor Landfill ,0,0,"Potential for private sector engagement in financing, constructing, and operating sanitary landfill and LFG system",Cambodia,1
519,MITIGATION,Waste management,Solid waste,MUNICIPAL SOLID WASTE,0,"Conditional NDC action: 1. A one-time Investment cost (CAPEX): From USD 40-60 per annual tonne for windrow/static pile composting to USD 300-500 per annual tonne for in-vessel composting.
2. Operating costs: at least USD 32 per tonne for static pile composting.",Composting of biodegradable organic fraction of MSW supplemented with separation of organic waste (at source).,0,0,"Can be done at different stages in the waste management value chain, either at household, community level or at landfill site. Private sector can invest in and operate the composting facilities",Cambodia,1
520,MITIGATION,Renewable Energy,Bioenergy,BIODIGESTER,0,Conditional,"Production of Refuse Derived Fuel (RDF ) from either a) fresh MSW or b) old MSW mined from the
Dangkor landfill. The mechanical and biological separation and treatment of waste will be combined with an anaerobic digestion plant (generation of biogas from organic waste) to power facilities at the landfill.",0,0,The produced RDF can be sold to e.g. cement industry as fuel. Private sector can invest in and manage the RDF and anaerobic digestion plant,Cambodia,1
521,MITIGATION,Waste management,Recycling ,UNDEFINED,0,0, Implementation of National 3R strategy ,0,0,1. GHG reduction due to reduced amount of plastic waste generated and burned. GHG reduction due to recycling of paper / wood 2. GHG emissions reduction 0.42 MtCO2e/year,Cambodia,1
522,MITIGATION,Renewable Energy,Bioenergy,UNDEFINED,0,0," Bio-digesters construction (85% reduction compared to 2000)(Small size (2-3- 4m3); Medium size(6-8- 10m3), Large size(>10m3)",0,0,0,Cambodia,1
523,MITIGATION,Waste management,Industrial Waste,UNDEFINED,0,0,Centralized recycling facility for industrial waste from the garment sector,0,0,0,Cambodia,1
524,MITIGATION,Waste management,Wastewater,WASTEWATER MANAGEMENT,0,0,Better management of industrial wastewater in the food & beverage sector,0,0,0,Cambodia,1
525,MITIGATION,Energy Efficiency,Appliances and equipment,ENERGY LABELLING,0,Conditional (With Support from Japan and Korea),"Application of electrical equipment labelling & MEPS (Lighting, Cooling & Equipment)",0,0,0,Cambodia,1
526,MITIGATION,Energy efficiency,Buildings,SUSTAINABLE SPATIAL PLANNING,0,"350 communes land use planning (CLUP) have been completed Baseline:20% of communes,2024) 60% by 2026(unconditional) By 80% (conditional) by 2030, and 100% by 2034","(DLUP) Prepare
spatial planning
(city/district/munici
pality) guidelines at
all levels for climate
change adaptation
(CLUP) Integrating
climate change
response measures
to the commune land
use planning",0,0,0,Cambodia,1
527,MITIGATION,Cross-sectoral Enablers and Approaches,Communication and Awareness,CLIMATE CHANGE AWARENESS CAMPAIGNS,0,Conditional,Public awareness campaigns,0,0,Providing the necessary fundamentals to understand energy efficiency issues when in professional practice to reduce 2% in 2030. The approximate number of awareness programmes scheduled for a year? (25 programmes),Cambodia,1
528,MITIGATION,Infrastructure and Urban planning,Building codes,BUILDING CODES,0,Conditional,Building codes and enforcement/certification for new buildings and those undergoing major renovation,0,0,0,Cambodia,1
529,MITIGATION,Energy Efficiency,Appliances and Equipment,ENERGY-EFFICIENT MOTORS,0,Conditional,Introduction of efficient electrical industrial motors and transformer,0,0,Enforcement of efficient electrical transformers/motors in utilities /buildings/ industries which reduces electricity consumption,Cambodia,1
530,MITIGATION,Carbon Fixation and Abatement,Fugitive emission control,CHARCOAL PRODUCTION,0,Conditional,Improve sustainability of charcoal production through enforcement of regulations,0,0,0,Cambodia,1
531,MITIGATION,Renewable Energy,Renewable Energy Infrastructure,RENEWABLE ENERGY RESOURCE MAPPING,0,Conditional + Unconditional ,"Roadmap study on Integration of renewable energy resources (solar, wind, hydro, biomass) into energy mix",0,0,"25 % of RE source into power mix (generation capacity) by 2030 (solar, wind, hydro and biomass)",Cambodia,1
532,MITIGATION,Renewable Energy,0,GRID INTEGRATION FOR RENEWABLES *,0,Conditional,Diversification of household and community energy generation sources to reduce reliance on biomass as an energy sources,0,0,Strengthen climateresilient energy through increase clean charcoal production,Cambodia,1
533,MITIGATION,Renewable Energy,0,OFF-GRID SYSTEMS,0,0,Reducing GHG emission though off grid street lightening of rural municipality,0,0,Reducing GHG emission though energy consumption of street lightening of the rural municipality,Cambodia,1
534,MITIGATION,Renewable Energy,Solar,UNDEFINED,0,0,Scaled up climate resilient agricultural production through increased access to solar irrigation systems and other climate‐resilient practices,0,0,0,Cambodia,1
535,MITIGATION,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE FINANCING,0,0,Eco-payment based on changing behavior on fire wood use of community in Angkor and Kulen Conservation Park ,0,0," Reducing GHG emission though avoiding the extraction of the forest from Angkor conservation park and Kulen conservation park for housing, fire wood consumption, and agriculture land.",Cambodia,1
536,MITIGATION,Energy Efficiency,Buildings,UNDEFINED,0,0,Cooling of public sector buildings,0,0,0,Cambodia,1
537,MITIGATION,Energy Efficiency,Appliances and Equipment,LIGHTING,0,Conditional ,"Sustainable energy practices in garment Industry, boiler, sewing machine, washing machine, drying machine, appliances, compressors",0,0,0,Cambodia,1
538,MITIGATION,Industry,Construction,EFFICIENT BRICK KILN,0,0," Boat-to-rotary kiln upgrade, Modified boat-to-rotary kiln upgrade, Sustainable energy practices in brick industry",0,0,Roughly estimated GHG emission reductions: 0.03 MtCO2eq/year for 8 rotary kiln replacing same amount of boat kilns.,Cambodia,1
539,MITIGATION,Waste management,Resource efficiency,MANUFACTURING ON DEMAND,0,0,"RECP Practices in the manufacturing industries -Replace an LPG fired boiler consuming about 704,428 L/year with a biomass-resudies fired boiler in a Food Import and Export company, Replace a diesel-fired dyanmo with grid electricity at a milling factory, improve operations at a noodles manufacturing unit, install a system to collect and re-use waste steam ",0,0,0,Cambodia,1
540,MITIGATION,Energy Efficiency,Appliances and Equipment,EFFICIENT AIR CONDITIONING SYSTEMS,0,Conditional,"Direct emission
reduction due F-gas
transition in airconditioning
and
refrigeration",0,0,0,Cambodia,1
541,MITIGATION,Energy Efficiency,Buildings,PASSIVE HOUSE DESIGN *,0,0,"Inclusion
of performance
requirements of Passive
Cooling Systems in
Building Energy Code and
implementation of
“passive cooling”
measures in the cities can
be carried out as part of
the implementation of the
NCAP",0,0,0,Cambodia,1
542,MITIGATION,Transport,Land transport,MODAL SHIFT FROM PRIVATE TO PUBLIC TRANSPORTATION,0,Conditional,"Promote integrated public transport systems
in main cities",0,0,0,Cambodia,1
543,MITIGATION,Transport,Vehicles and fuel technologies,VEHICLE EMISSION TESTING,0,Conditional ,Enhance maintenance and inspection of vehicle (Piloting maintenance and emission inspections of vehicles),0,0,0,Cambodia,1
544,MITIGATION,Transport,Land transport,FREIGHT MANAGEMENT,0,0,"Shift long distance freight
movement from trucks to
train",0,0,0,Cambodia,1
545,MITIGATION,Agriculture,Cropland,CONSERVATION TILLAGE,0,0,"Increasing the
effectiveness and
sustainability of
agricultural land
management techniques",0,0,"Conservation agriculture; Minimum tillage, mulching with crop residue, and crop rotation; legum growing;",Cambodia,1
547,MITIGATION,Agriculture,Livestock management,FODDER BANKS,"fodder manual
is available",0,"Promote fodder
production to improve
high nutrient rich and
high-quality forage feed
value agriculture byproducts
technology to
support cattle production",0,0,0,Cambodia,1
548,MITIGATION,Agriculture,0,MANURE MANAGEMENT,"Compost
technology is
available",0,"Promote manure
Management through
compost making process
to reduce carbon
emission",0,0,0,Cambodia,1
550,MITIGATION,Agriculture,Cropland,RICE CULTIVATION,0,0,"Development of rice crops for increase production, improved qualitysafety; harvesting and post harvesting technique and agrobusiness enhancement",0,0,0,Cambodia,1
551,MITIGATION,Agriculture,Cropland,UNDEFINED,0,0,"Development of horticulture and other food crops for increase production, improved qualitysafety; harvesting and post harvesting technique and agrobusiness enhancement",0,0,0,Cambodia,1
552,MITIGATION,Agriculture,Cropland,CROP VARIETIES WITH ENHANCED CARBON SEQUESTRATION,0,0,"Research for the development and enhancement of agricultural productivity, quality, and transfer through strengthening of crop variety conservation and new crop variety release responding to the impacts of climate change",0,0,0,Cambodia,1
553,MITIGATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,0,0,"Strengthen management of forest conservation areas, such as protected areas and flooded and mangrove conservation areas - Promote forest land tenure security through forest land classification, zoning, demarcation, and registration",0,0,0,Cambodia,1
554,MITIGATION,Forestry,0,FOREST PLANTATION,0,0,"Engage and encourage the private sector to implement alternative and sustainable supply chains from agro industrial plantations, and to reduce emissions. Enhance timber supply and wood-based energy sourced from community-based forest management areas and private plantations to reduce pressure on forest areas",0,0,0,Cambodia,1
555,MITIGATION,Forestry,0,AFFORESTATION,0,0,"Expand afforestation,
reforestation and
restoration activities",0,0,0,Cambodia,1
556,MITIGATION,Forestry,0,REFORESTATION,0,0,0,0,0,0,Cambodia,1
557,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed Farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,0,0,"Towards an
agroecological
transition in the
uplands of
Battambang",0,0,0,Cambodia,1
558,ADAPTATION,Agriculture and Forestry,Livestock management,UNDEFINED,0,0,"Promotion of
research capacities
on animal genetic,
animal breeding, and
animal feed is
strengthened to
adapt to climate
change",0,0,0,Cambodia,1
559,ADAPTATION,Agriculture and Forestry,0,LIVESTOCK DISEASE MANAGEMENT,0,0,"Strengthening capacities for risk prevention and reduction, effective emergency preparedness and response at all levels; enhancing livestock and disease related early warning system, and integrating disaster risk reduction and climate change adaptation measures into recovery and rehabilitation initiatives in the livestock sector",0,0,0,Cambodia,1
560,ADAPTATION,Marine and Fisheries,Fisheries management,SUSTAINABLE FISHING,0,0,Promoting aquaculture production systems and practices that are more adaptive to climate change,0,0,0,Cambodia,1
561,ADAPTATION,Agriculture and Forestry,Land Management Training,COMMUNITY-BASED AGRICULTURAL EXTENSION,0,Conditional,Developing a training manual and providing training on approaches for development of climate-smart and sustainable livelihood to rural poor people,0,0,0,Cambodia,1
562,ADAPTATION,Agriculture and Forestry,Forest management for adaptation,REDUCED IMPACT LOGGING,0,0,"Strengthen law
enforcement activities to
address unauthorized
logging, and
encroachment",0,0,0,Cambodia,1
563,ADAPTATION,Marine and Fisheries,Marine monitoring,MARINE MONITORING,0,Conditional,"Protection, risk
mitigation, and
resilience building
from marine
pollution
particularly caused
by activities on land
including marine
pollution from waste
and aquaculture
activities",0,0,0,Cambodia,1
564,ADAPTATION,Marine and Fisheries,Marine protected areas,MARINE PROTECTED AREAS,0,Conditional,"Effective
management and
protection of
ecological systems of
marine and costal
zones to avoid
adverse impacts
from various factors,
build their resilience
and restore its
functions for
productive and
healthy oceans",0,0,0,Cambodia,1
565,ADAPTATION,Cross-sectoral Enablers and Approaches,Communication and Awareness,KNOWLEDGE MANAGEMENT SYSTEMS,0,0,"Upgrading curriculum and training methodologies, including libraries, to include climate change subjects for primary schools. Conduct training for education officials on climate change e.g. as a required component of teacher training",0,0,0,Cambodia,1
566,ADAPTATION,Cross-sectoral Enablers and Approaches,Gender,CASH TRANSFER POLICIES,0,"Conditional MoWA
prefers to
implement this
actions base on
available fund
(small CCCA
support)","Strengthen
institutional
capacities at national
and sub-national
levels to integrate
gender
responsiveness in
climate change
adaptation's policies,
plans, programming,
including gender
budgeting",0,0,0,Cambodia,1
567,ADAPTATION,Cross-sectoral Enablers and Approaches,0,WOMEN'S ECONOMIC EMPOWERMENT,0,Conditional ,"Enhance coordination and implementing accountability mechanisms to reduce climate change vulnerabilities of disadvantaged women and other marginalized groups such as ethnic minority women and men, People with Disability (PWD), youth, and elderly, Market supply chain of rural women entrepreneurs resilient to climate change",0,0,0,Cambodia,1
568,ADAPTATION,Cross-sectoral Enablers and Approaches,0,SEX-DISAGGREGATED DATA,0,"Conditional
NCSD has fund for
system and training
as part of Enhanced
Transparency
Framework
Implementation","Enhance monitoring and evaluation systems of sectoral ministries to track gender outcomes inclimate change initiatives with particular focus on collecting and managing sexdisaggregated data, gender indicators and budgeting, outcome-based reporting, and dissemination and up-scaling of the gender and climate change adaptation related knowledge generated",0,0,0,Cambodia,1
569,ADAPTATION,Cross-sectoral Enablers and Approaches,0,GENDER MAINSTREAMING,0,Conditional,"Develop a technical
guidelines for gender
mainstreaming in
NDC process",0,0,0,Cambodia,1
571,ADAPTATION,Cross-sectoral Enablers and Approaches,Governance and Planning,NATIONAL ADAPTATION PROGRAMMES OF ACTION,0,0,"Reducing
vulnerability of local
communities though
sub-national climate
governance reform
(focusing on policy)",0,0,0,Cambodia,1
572,ADAPTATION,Human Health,Advanced IT systems in the health sector,DISEASE SURVEILLANCE SYSTEMS,"Baseline: 25 Health Centers and 15 Communities 75 villages in Ratanakiri (water sanitation) Target: 100 Health Centers and 60 Communities and 300 villages in 4 vulnerability province on climate change Baseline: 277person/ 9 trainings/6province)
Target: 810particpants/27 trainings/ 18 provinces/municipality
Baseline: 90 Participants/3Training from 5 provinces)
Target : 150/ 5 Training/ 15
Province/Municipality",Conditional,"Enable effective
decision-making for
health interventions
through generation
of information and
improved
surveillance or earlywarning
systems",0,0,"1. Develop rural
water safety
planning
2. WASH
Assessment tools
development for
health care
facilities and
communities
3. Establishment
of technical
working group
for CC on Health
at Ratanakiri",Cambodia,1
573,ADAPTATION,Human Health,Vector-borne diseases,VECTOR-BORNE DISEASE PREVENTION,Unconditional,0,"Strengthen and provide capacity building of technical guidelines for diagnosis, detection, control, prevention and treatment of vector-borne and water-borne diseases, injuries and other food poisoning illnesses arising from climate change",0,0,0,Cambodia,1
574,ADAPTATION,Human Health,Public Health Services,AIR QUALITY MONITORING,0,Conditional,Installing air quality monitoring equipment in all provinces across the countries and establishing air quality data monitoring center with mobile application for public information and access,0,0,0,Cambodia,1
575,ADAPTATION,Cross-sectoral enablers and approaches,Communications and Awareness,SOCIAL MEDIA IN DISASTER RESPONSE,0,0,Enhance the quality of broadcasting means and expand the capacity of coverages for raising awareness on climate change nationwide. Urge private media organizations to participate in covering/broadcasting the climate change topics and to complement the state broadcasting agencies. ,0,0,0,Cambodia,1
576,ADAPTATION,Cross-sectoral enablers and approaches,0,COMMUNITY-RUN EARLY WARNING SYSTEMS,0,"Conditional. Baseline: 4 capacity buildings and training workshops on climate change have been conducted in Phnom Penh, Preah Sihanouk and Battambang Province. (approx.: 50 person)
Targets:
-Organize 20 Workshops/Seminars
-Conduct 20 training
-Organize 10 study exchanges",Training and enhancing human capacity on climate change in information sector. Urge and encourage to reduce (or ban) all forms of commercial advertisement that has negative impact on environment,0,0,0,Cambodia,1
577,ADAPTATION,Infrastructure and Urban planning,Building construction,BUILDING CONSTRUCTION,0,0,"Integrating climate
change response
measures onto the
construction design
for buildings and for
rural housing (use of
modern integration
of technology)",0,0,0,Cambodia,1
578,ADAPTATION,Infrastructure and Urban planning,Building design and material,DISASTER-RESILIENT BUILDINGS,0,Conditional.,"Implement climate change and disaster resilient construction and infrastructure standards including for public sector and community-focused buildings covering public health, education, WASH etc.",0,0,0,Cambodia,1
579,ADAPTATION,Infrastructure and Urban planning,Land use in human settlements,LAND USE IN HUMAN SETTLEMENTS,0,Conditional.,Integrating climate change response measures to the policy of social land concession (SLC) and its procedures. Prepare modality of standardized green spaces for urban planning or new subcities to address vulnerability of urbanization,0,0,0,Cambodia,1
580,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,Conditional.,"Vulnerability Assessment towards the development of climate change strategic plans to respond to the impacts on land, housings, coastal management, and building due to climate change",0,0,0,Cambodia,1
581,ADAPTATION,Infrastructure and Urban Planning,Resilient transport systems,RESILIENT ROAD SYSTEMS,"Unconditional-for
publication
(national
budget)+Training",0,"Develop national
road construction
and maintenance
design standards for
national and
provincial roads,
considering climate
change impact
including M&E
framework develop
for climate proofing
and low-carbon
technology roads",0,0,0,Cambodia,1
584,ADAPTATION,Infrastructure and Urban Planning,Urban planning,UNDEFINED,0,Conditional,Improving urban environmental management through increasing green spaces in the city,0,0,0,Cambodia,1
585,ADAPTATION,Early Warning and Environmental Assesment,Hazard Mapping,DISASTER RISK ASSESSMENT TOOLS *,0,Conditional.,"Develop and annually update national and subnational multihazard and climate risk assessments, including identification of most vulnerable communities",0,0,0,Cambodia,1
586,ADAPTATION,Early Warning and Environmental Assesment,Early warning systems & forecasting,EARLY WARNING SYSTEMS COMMUNICATION,0,Conditional,"National end-to-end
early warning
systems with focus
on effective
dissemination to
populations at risk",0,0,0,Cambodia,1
587,ADAPTATION,Early Warning and Environmental Assesment,0,CLIMATE SCENARIO DEVELOPMENT,0,Conditional,Implement community-based dissaster and climate risk management programs,0,0,0,Cambodia,1
588,ADAPTATION,Early Warning and Environmental Assesment,Monitoring systems,ECOSYSTEM MONITORING,0,0,"Building resilience of
biodiversity
conservation and
restoration to adapt
to climate change",0,0,0,Cambodia,1
589,ADAPTATION,Early Warning and Environmental Assesment,Early warning systems & forecasting,FLOOD FORECASTING SYSTEMS,0,Conditional ,"Strengthen flood
resiliency capacity of
communities around
Tonle Sap (access to
clean water, off grid
renewable energy,
and waste
management)",0,0,0,Cambodia,1
590,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,0,"Building climate resilient livelihood and public infrastructures in social land concession for vulnerable communities. Strengthen resilience and adaptation capacity to climate change in the most vulnerable provinces/districts/communes (produce vulnerability index maps at the commune level, integrate climate change into investment and development plans, demonstrate the identified actions at pilot sites)",0,0,0,Cambodia,1
591,ADAPTATION,Cross-sectoral Enablers and Approaches,Governance and Planning,NATIONAL BIODIVERSITY STRATEGIES AND ACTION PLAN,0,Conditional,"Building climate
resilience for district
and commune
governance through
policy and strategic
development plan
reform (focus on
implementation)",0,0,0,Cambodia,1
592,ADAPTATION,Cross-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,Conditional,"Build adaptive
capacity on climate
change for village
leaders (Village
Development
Committees, VDCs)",0,0,0,Cambodia,1
593,ADAPTATION,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE FINANCING,0,Conditional,"Enhance
institutional capacity
on climate change
(mitigation,
adaptation, policy,
strategies, planning,
and finance) through
awareness raising,
training, and
advocacy",0,0,0,Cambodia,1
594,ADAPTATION,Water,Integrated planning,HYDROLOGICAL MODELLING,0,Conditional,"Establish an automated nationwide hydromet monitoring network and data transmission program, including collection of climate and hydrological data",0,0,0,Cambodia,1
595,ADAPTATION,Water,0,INTEGRATED WATER RESOURCES MANAGEMENT,0,0,"Establish a
centralized and
standardized
approach to climateresilient
water
management",0,0,0,Cambodia,1
596,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,FLOOD FORECASTING SYSTEMS,0,0,"Establish a national
climate and food
warning system,
including a service
center and flood
emergency response
plans",0,0,0,Cambodia,1
597,ADAPTATION,Water,Integrated planning,GROUNDWATER EXTRACTION AND MONITORING,0,0,"Integrated
groundwater
management in
Cambodia",0,0,0,Cambodia,1
598,ADAPTATION,Water,Water efficiency and demand Management,IMPROVED IRRIGATION EFFICIENCY,0,0,"Establish nationally
standardized bestpractice
systems for
irrigation",0,0,0,Cambodia,1
599,ADAPTATION,Infrastructure and Urban Planning,Urban Planning,RESILIENT SANITATION INFRASTRUCTURE,0,0,"Resilient and
adaptive rural water
supply and
sanitation
construction",0,0,0,Cambodia,1
600,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,0,0,0,0,0,0,Cameroon,1
601,MITIGATION,Agriculture,Soil management,RESTORATION OF ORGANIC SOILS,0,0,0,0,0,0,Cameroon,1
602,MITIGATION,Agriculture,0,RESTORATION OF DEGRADED LANDS,0,0,0,0,0,0,Cameroon,1
603,MITIGATION,Agriculture,Cropland,RICE CULTIVATION,0,0,0,0,0,0,Cameroon,1
604,MITIGATION,Agriculture,Livestock management,METHANE EMISSION MITIGATION OF RUMINANTS,0,0,0,0,0,0,Cameroon,1
605,MITIGATION,Agriculture,0,STRAW AMMONIATION AND SILAGE,0,0,0,0,0,0,Cameroon,1
606,MITIGATION,Agriculture,0,MANURE MANAGEMENT,0,0,0,0,0,0,Cameroon,1
607,MITIGATION,Agriculture,0,FODDER BANKS,0,0,0,0,0,0,Cameroon,1
608,MITIGATION,Energy efficiency,Buildings,SUSTAINABLE SPATIAL PLANNING,0,0,0,0,0,0,Cameroon,1
609,MITIGATION,Energy efficiency,Energy distribution,CONNECTION OF ISOLATED GRID,0,0,0,0,0,0,Cameroon,1
610,MITIGATION,Energy efficiency,0,MICRO-GRID,0,0,0,0,0,0,Cameroon,1
611,MITIGATION,Renewable Energy,Hydro,LARGE-SCALE HYDROPOWER,0,0,0,0,0,0,Cameroon,1
612,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,0,0,0,0,0,Cameroon,1
613,MITIGATION,Carbon Fixation and Abatement,Fugitive emission control,OIL AND GAS FLARING REDUCTION,0,0,0,0,0,0,Cameroon,1
614,MITIGATION,Transport,Land transport,MODAL SHIFT FROM PRIVATE TO PUBLIC TRANSPORTATION,0,0,0,0,0,0,Cameroon,1
615,MITIGATION,Waste Management,Solid waste,INTEGRATED SOLID WASTE MANAGEMENT,0,0,0,0,0,0,Cameroon,1
616,ADAPTATION,Agriculture and Forestry,Terrestrial ecosystems management,BIODIVERSITY MANAGEMENT SYSTEMS,0,0,0,0,0,0,Cameroon,1
617,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,0,0,0,0,0,Cameroon,1
618,ADAPTATION,Infrastructure and Urban planning,Building codes,BUILDING CODES,0,0,0,0,0,0,Cameroon,1
619,ADAPTATION,Coss-sectoral Enablers and Approaches,Economics and financial decisionmaking,CIRCULAR ECONOMY,0,0,0,0,0,0,Cameroon,1
620,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,HAZARD MAPPING SOLUTIONS,0,0,0,0,0,0,Cameroon,1
621,ADAPTATION,Early Warning and Environmental Assesment,Early warning systems & forecasting,EARLY WARNING SYSTEMS COMMUNICATION,0,0,0,0,0,0,Cameroon,1
622,ADAPTATION,Marine and Fisheries,Fisheries management,SUSTAINABLE FISHING,0,0,0,0,0,0,Cameroon,1
